Start Timestamp,,,,End Timestamp,,,,,,Reason Code,,,,,,,,,Time (Fmt),,
7/27/2022 4:40:10 PM,,,,07/27/2022 04:43:18 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:08,,
7/27/2022 4:43:18 PM,,,,07/27/2022 04:46:03 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:02:45,,
7/27/2022 4:50:13 PM,,,,07/27/2022 04:52:41 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:28,,
7/27/2022 4:59:11 PM,,,,07/27/2022 05:01:55 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:44,,
7/27/2022 5:18:28 PM,,,,07/27/2022 05:19:29 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:01,,
7/27/2022 5:23:39 PM,,,,07/27/2022 05:26:02 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:23,,
7/27/2022 5:28:32 PM,,,,07/27/2022 05:31:13 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:41,,
7/27/2022 5:31:32 PM,,,,07/27/2022 05:31:43 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:11,,
7/27/2022 5:31:43 PM,,,,07/27/2022 05:33:33 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:01:50,,
7/27/2022 6:08:14 PM,,,,07/27/2022 06:11:52 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:38,,
7/27/2022 6:36:56 PM,,,,07/27/2022 06:39:32 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:02:36,,
7/28/2022 8:38:46 AM,,,,07/28/2022 08:41:17 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:31,,
7/28/2022 8:45:09 AM,,,,07/28/2022 08:50:18 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:05:09,,
7/28/2022 8:55:19 AM,,,,07/28/2022 08:57:57 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:38,,
7/28/2022 9:00:48 AM,,,,07/28/2022 09:03:35 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:47,,
7/28/2022 9:07:18 AM,,,,07/28/2022 09:12:00 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:42,,
7/28/2022 9:13:22 AM,,,,07/28/2022 09:16:18 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:56,,
7/28/2022 9:19:42 AM,,,,07/28/2022 09:23:44 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:02,,
7/28/2022 9:28:28 AM,,,,07/28/2022 09:30:25 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:57,,
7/28/2022 9:32:33 AM,,,,07/28/2022 09:34:36 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:03,,
7/28/2022 9:43:29 AM,,,,07/28/2022 09:50:07 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:06:38,,
7/28/2022 9:56:07 AM,,,,07/28/2022 10:00:42 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:35,,
7/28/2022 10:07:41 AM,,,,07/28/2022 10:11:14 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:33,,
7/28/2022 10:14:34 AM,,,,07/28/2022 10:16:56 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:22,,
7/28/2022 10:17:45 AM,,,,07/28/2022 10:23:00 AM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:05:15,,
7/28/2022 10:24:44 AM,,,,07/28/2022 10:26:16 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:32,,
7/28/2022 10:31:53 AM,,,,07/28/2022 10:36:09 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:16,,
7/28/2022 10:38:24 AM,,,,07/28/2022 10:41:09 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:45,,
7/28/2022 10:42:22 AM,,,,07/28/2022 10:45:14 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:52,,
7/28/2022 10:49:45 AM,,,,07/28/2022 10:52:27 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:42,,
7/28/2022 10:54:42 AM,,,,07/28/2022 10:57:02 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:20,,
7/28/2022 11:08:17 AM,,,,07/28/2022 11:09:26 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:09,,
7/28/2022 11:11:27 AM,,,,07/28/2022 11:13:05 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:38,,
7/28/2022 11:23:54 AM,,,,07/28/2022 11:28:14 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:20,,
7/28/2022 11:30:56 AM,,,,07/28/2022 11:32:19 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:23,,
7/28/2022 11:34:36 AM,,,,07/28/2022 11:38:04 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:28,,
7/28/2022 11:44:29 AM,,,,07/28/2022 11:45:49 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:20,,
7/28/2022 11:52:10 AM,,,,07/28/2022 11:56:11 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:01,,
7/28/2022 12:02:13 PM,,,,07/28/2022 12:05:35 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:22,,
7/28/2022 12:10:31 PM,,,,07/28/2022 12:12:17 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:46,,
7/28/2022 12:12:17 PM,,,,07/28/2022 12:15:57 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:03:40,,
7/28/2022 12:17:55 PM,,,,07/28/2022 12:21:18 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:23,,
7/28/2022 12:23:48 PM,,,,07/28/2022 12:26:31 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:43,,
7/28/2022 12:30:40 PM,,,,07/28/2022 12:33:04 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:24,,
7/28/2022 12:33:57 PM,,,,07/28/2022 12:35:59 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:02,,
7/28/2022 12:44:06 PM,,,,07/28/2022 12:51:02 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:06:56,,
7/28/2022 1:00:45 PM,,,,07/28/2022 01:00:59 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:14,,
7/28/2022 1:00:59 PM,,,,07/28/2022 02:02:15 PM,,,,,,ReasonCodeDescription=WorkQueue,,,,,,,,,01:01:16,,
7/28/2022 2:02:15 PM,,,,07/28/2022 02:27:54 PM,,,,,,ReasonCodeDescription=Lunch,,,,,,,,,00:25:39,,
7/28/2022 3:13:26 PM,,,,07/28/2022 03:17:45 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:19,,
7/28/2022 3:20:30 PM,,,,07/28/2022 03:22:36 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:06,,
7/28/2022 3:27:10 PM,,,,07/28/2022 03:29:25 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:15,,
7/28/2022 3:33:11 PM,,,,07/28/2022 03:37:33 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:22,,
7/28/2022 3:41:08 PM,,,,07/28/2022 03:42:53 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:45,,
7/28/2022 3:44:35 PM,,,,07/28/2022 03:48:09 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:34,,
7/28/2022 3:49:32 PM,,,,07/28/2022 03:53:18 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:03:46,,
7/28/2022 4:01:39 PM,,,,07/28/2022 04:03:04 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:25,,
7/28/2022 4:03:04 PM,,,,07/28/2022 04:38:44 PM,,,,,,ReasonCodeDescription=Meeting,,,,,,,,,00:35:40,,
7/28/2022 5:04:51 PM,,,,07/28/2022 05:07:14 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:23,,
